ID,X,Y,Z
70946,0.734329,1.54904,5.67045
70945,-1.38417,0.0645529,2.38409
70944,0.71105,1.0724,5.82375
70943,-1.78342,-5.49675,3.60086
70942,0.685098,0.249143,6.06072
70940,-1.4611,0.399825,2.27177
70939,0.816699,1.42409,5.94315
70937,0.659184,0.441687,6.34733
70936,0.675276,0.3051,6.38449
70935,0.641423,0.279822,6.40782
70934,0.694227,1.13524,6.12701
70933,0.680952,0.864558,6.21282
70932,0.694807,1.46632,6.02884
70931,0.652096,0.768816,6.26731
70930,0.601329,0.459897,6.37271
70929,0.687985,1.44292,6.04676
70928,0.547617,0.558328,6.44464
70927,0.92828,1.12946,4.27069
70926,0.91979,1.11629,4.2746
70925,0.906314,0.955342,4.51935
70924,0.348262,-0.634292,2.17955
70923,0.871696,0.623865,4.44704
70922,-3.52837,-15.7318,-16.329
70921,0.858713,0.325267,4.55618
70920,0.876573,0.197552,4.54975
70918,1.54272,-0.508829,-0.790305
70917,0.889264,0.246499,4.23745
70916,0.845225,-0.0791962,5.09193
70915,0.811808,1.24549,5.13829
70914,0.768568,0.0732752,5.43489
70913,0.806782,0.327718,4.85145
70912,0.76316,0.208937,5.46405
70911,-0.940641,-3.7597,2.43978
70910,0.807538,1.30374,4.79143
70909,0.732797,0.633895,5.64993
70908,0.874985,0.821069,4.41026
70907,0.740885,0.936688,5.65296
70906,-0.519394,-2.90756,4.08464
70905,0.746788,1.37825,5.61322
70904,0.768769,1.17468,5.73754
70903,-8.71727,-16.0741,-8.17057
70902,-1.40691,0.00179215,2.37469
70901,-1.39386,-0.0352891,2.41212
70900,0.715115,1.13256,5.80412
70899,0.671158,0.226031,6.11066
70898,0.706168,1.01147,5.88792
70897,0.651899,0.230034,5.75995
70896,0.723871,0.244931,5.53615
70895,0.656344,0.420439,6.13721
70894,-3.71604,-11.6556,-1.24562
70893,-1.32371,-4.08755,4.62363
70891,0.882156,1.79711,5.98367
70890,0.709118,1.38631,5.87732
70889,0.646545,0.361409,6.37672
70888,0.631493,0.293872,6.41511
70887,0.635072,0.773616,6.26316
70886,0.922885,1.16753,4.27203
70885,0.942706,0.966143,4.02825
70884,0.937641,0.674309,4.12116
70883,0.813353,0.984648,4.91247
70882,0.201702,-1.62423,2.85184
70881,0.862898,0.574832,4.41102
70880,0.812191,1.15638,5.15391
70879,0.812191,1.15638,5.15391
70878,0.785761,-0.0908018,5.32742
70877,0.77935,0.9313,5.24458
70876,0.0958739,-0.244004,3.6309
70874,0.7875,1.34931,5.28273
70873,0.7875,1.34931,5.28273
70872,0.755385,0.626856,5.34195
70871,0.775851,0.732801,5.43617
70870,0.771857,0.440367,5.40359
70869,0.742385,0.178217,5.482
70868,0.775172,1.36085,5.42276
70867,0.769352,1.24111,5.42227
70865,0.743491,0.0386839,5.69503
70864,0.770861,1.35808,5.43152
70863,0.764411,1.35441,5.45453
70862,-1.4187,-2.08985,1.56005
70861,0.732803,0.562819,5.68001
70860,-6.21568,-18.008,-4.27328
70859,0.761396,1.48781,5.54233
70857,-0.331791,-2.99086,4.60452
70856,0.703716,0.252207,5.93664
70854,-14.6317,-39.5847,-8.62006
70853,0.743128,1.60971,5.64758
70852,0.68364,0.297737,6.06892
70851,-0.159999,0.13009,4.70169
70850,-0.21165,-0.0422078,4.71992
70849,0.889921,1.54506,5.40202
70848,0.611872,0.329732,6.40609
70847,0.715153,1.55752,5.98428
70846,0.693064,1.57053,5.99124
70845,0.591784,0.50527,6.48884
70804,-0.0757975,-2.52018,4.02653
70797,1.00801,0.366282,5.47235
70796,0.797744,0.991933,5.25801
70788,0.897362,0.563957,4.18467
70787,0.675576,1.03823,5.91303
70786,0.699196,0.985762,5.94391
70785,0.658266,0.750084,6.01875
70784,0.658527,0.710697,6.03221
70783,0.72858,1.43152,5.78284
70782,0.723755,1.4364,5.80128
70781,0.691904,1.28022,5.839
70780,0.697544,1.01444,5.9864
70779,0.690099,0.921367,6.01627
70778,0.691293,0.752828,6.08819
70777,0.679503,0.67199,6.11859
70776,0.696079,1.57177,5.78352
70775,0.718796,1.49121,5.84533
70774,0.695637,1.13206,5.98875
70773,0.671379,0.691705,6.26689
70772,0.719818,1.66956,5.81149
70771,0.719818,1.66956,5.81149
70769,0.938046,0.976224,4.29687
70768,0.945123,0.0466979,4.14955
70767,0.951635,-0.426782,3.95817
70766,0.924952,0.962889,4.35061
70765,0.924952,0.962889,4.35061
70764,0.907658,0.992147,4.4484
70763,0.898322,0.863927,4.3183
70762,0.93002,-0.306585,4.31045
70761,0.895533,0.983949,4.56674
70760,0.909178,0.885185,4.49668
70759,0.96356,1.10947,4.84356
70758,0.886935,0.494803,4.66937
70757,0.884021,-0.212932,4.55787
70756,0.856421,1.11194,4.74223
70755,0.841829,0.819108,4.64547
70754,0.851341,1.38514,4.78682
70753,0.838888,1.35583,4.78591
70752,0.849569,1.13921,4.83406
70751,0.849007,0.956106,4.75957
70750,0.815347,0.335546,4.80519
70749,0.862779,-0.137133,4.84504
70748,0.862779,-0.137133,4.84504
70747,0.825717,1.36876,4.82146
70746,0.815217,1.23259,4.85241
70745,0.831146,0.309928,4.98812
70744,0.831146,0.309928,4.98812
70743,0.817758,-0.122007,5.03219
70742,0.835781,1.38834,4.9399
70741,0.825227,1.2434,5.00143
70740,0.817971,0.520385,5.03803
70739,0.802221,0.308014,5.09981
70738,0.803951,-0.061813,5.09611
70737,0.810648,0.719624,5.11352
70736,0.80399,1.44435,5.07811
70735,0.794875,1.3752,5.08286
70734,0.78243,0.207283,5.30641
70733,0.800088,1.23547,5.22006
70732,0.800476,0.968346,5.22461
70731,0.73042,0.212557,5.46891
70730,0.777567,0.985631,5.37482
70729,0.72033,0.525567,5.38548
70728,1.22941,0.837677,4.8525
70727,0.742327,0.524797,5.43197
70726,0.716934,0.129422,5.56293
70725,0.780564,0.0107525,4.9889
70724,0.735533,0.0600964,5.69868
70723,0.775093,1.55009,5.35389
70722,0.774428,1.50016,5.37354
70721,0.774139,1.48461,5.37877
70720,0.7707,1.3357,5.41768
70719,0.773218,0.0473479,5.81696
70718,0.773218,0.0473479,5.81696
70717,0.733779,0.219312,5.47194
70716,0.736188,1.5747,5.40114
70715,0.736188,1.5747,5.40114
70714,0.721308,0.437004,5.78936
70713,0.713864,0.544431,5.82322
70712,0.707113,0.153349,5.96912
70711,0.836734,0.336248,6.10313
70710,1.10061,1.77124,5.93818
70709,0.751251,1.48349,5.56058
70708,0.737619,1.11479,5.69641
70707,0.751581,1.16487,5.71043
70706,0.725715,0.984425,5.77592
70705,0.689547,0.225985,6.00661
70704,0.705378,0.622586,5.91076
70703,0.69164,0.480082,6.00831
70702,0.725135,1.17833,5.7866
70701,0.722886,1.15793,5.79135
70700,0.724196,1.14168,5.79877
70699,0.709048,1.02521,5.84352
70698,0.713127,0.103409,5.54057
70697,0.669774,0.193574,6.15781
70696,0.741573,1.54443,5.65824
70695,0.741573,1.54443,5.65824
70694,0.732498,1.52285,5.67831
70693,0.664442,0.740904,5.99006
70692,0.673874,0.832061,5.98233
70691,0.682075,0.64546,6.10973
70690,0.676757,0.537471,6.11978
70689,0.677436,0.465684,6.17713
70688,0.703199,1.46509,5.75064
70687,0.681636,1.22666,5.86519
70685,0.673875,1.05529,5.92091
70684,0.683457,0.779678,6.07296
70683,0.683457,0.779678,6.07296
70682,0.713927,1.53189,5.85371
70679,0.919074,0.975872,4.40552
70678,0.915197,0.888893,4.28559
70677,0.90527,1.01791,4.49196
70676,0.917722,0.947359,4.51973
70675,0.89124,0.960891,4.50691
70674,0.881489,0.663657,4.46679
70673,0.898119,0.391264,4.4835
70672,0.968773,1.37667,4.84701
70671,0.965061,1.15118,4.87212
70670,0.887579,0.457836,4.63922
70669,0.884719,-0.0879745,4.51028
70668,0.871094,-0.00378475,4.60179
70667,0.893088,1.1045,4.74539
70666,0.860578,1.23055,4.81967
70665,0.82492,0.484036,4.84399
70664,0.816257,1.33129,4.81454
70663,0.81159,0.363007,5.09874
70662,1.15158,1.75567,5.70175
70661,0.792159,1.00332,4.98987
70660,0.799719,0.0369648,5.22201
70659,1.13404,1.76415,5.71171
70658,0.798656,1.31592,5.12035
70657,0.775135,0.0591549,5.35894
70656,0.847516,1.33462,5.30452
70655,0.778526,1.07923,5.20003
